100	[SLAMPOS]	0	80.3555	-58.739	266.934
100	[SLAMPOS]	0	80.3633	-58.7369	266.921
100	[SLAMPOS]	0	80.3703	-58.7383	266.921
100	[SLAMPOS]	0	80.3785	-58.7282	266.902
100	[SLAMPOS]	0	80.3788	-58.7308	266.929
100	[SLAMPOS]	0	80.3793	-58.7478	266.941
100	[SLAMPOS]	0	80.3809	-58.765	266.965
100	[SLAMPOS]	0	80.3663	-58.7554	266.966
100	[SLAMPOS]	0	80.374	-58.7408	266.933
100	[SLAMPOS]	0	80.374	-58.7408	266.933
100	[SLAMPOS]	0	80.3714	-58.7373	266.922
100	[SLAMPOS]	0	80.3738	-58.7366	266.925
100	[SLAMPOS]	0	80.3681	-58.7433	266.927
100	[SLAMPOS]	0	80.3748	-58.7387	266.923
100	[SLAMPOS]	0	80.3791	-58.7369	266.916
100	[SLAMPOS]	0	80.3823	-58.7402	266.946
100	[SLAMPOS]	0	80.374	-58.7346	266.927
100	[SLAMPOS]	0	80.3481	-58.7528	266.954
100	[SLAMPOS]	0	80.3557	-58.7502	266.938
100	[SLAMPOS]	0	80.3569	-58.764	266.954
100	[SLAMPOS]	0	80.3739	-58.7549	266.949
100	[SLAMPOS]	0	80.3582	-58.7394	266.918
100	[SLAMPOS]	0	80.3519	-58.7502	266.95
100	[SLAMPOS]	0	80.3697	-58.7473	266.942
100	[SLAMPOS]	0	80.368	-58.7487	266.929
100	[SLAMPOS]	0	80.3783	-58.7361	266.919
100	[SLAMPOS]	0	80.3783	-58.7361	266.919
100	[SLAMPOS]	0	80.3864	-58.7221	266.897
100	[SLAMPOS]	0	80.3846	-58.7349	266.908
100	[SLAMPOS]	0	80.3854	-58.7276	266.902
100	[SLAMPOS]	0	80.3674	-58.7408	266.936
100	[SLAMPOS]	0	80.3674	-58.7408	266.936
100	[SLAMPOS]	0	80.3823	-58.7349	266.916
100	[SLAMPOS]	0	80.3741	-58.7566	266.965
100	[SLAMPOS]	0	80.3844	-58.7381	266.917
100	[SLAMPOS]	0	80.408	-58.7338	266.91
100	[SLAMPOS]	0	80.3936	-58.7288	266.908
100	[SLAMPOS]	0	80.378	-58.75	266.938
100	[SLAMPOS]	0	80.3961	-58.7332	266.916
100	[SLAMPOS]	0	80.3834	-58.7459	266.932
100	[SLAMPOS]	0	80.4038	-58.7141	266.881
100	[SLAMPOS]	0	80.3644	-58.75	266.954
100	[SLAMPOS]	0	80.3899	-58.7308	266.926
100	[SLAMPOS]	0	80.3826	-58.7342	266.934
100	[SLAMPOS]	0	80.3791	-58.7483	266.961
100	[SLAMPOS]	0	80.3875	-58.7358	266.941
100	[SLAMPOS]	0	80.3743	-58.742	266.932
100	[SLAMPOS]	0	80.3599	-58.7517	266.944
100	[SLAMPOS]	0	80.3945	-58.725	266.91
100	[SLAMPOS]	0	80.3619	-58.7442	266.941
100	[SLAMPOS]	0	80.3922	-58.7348	266.922
100	[SLAMPOS]	0	80.3654	-58.7526	266.952
100	[SLAMPOS]	0	80.392	-58.7405	266.932
100	[SLAMPOS]	0	80.3998	-58.7504	266.931
100	[SLAMPOS]	0	80.407	-58.7404	266.936
100	[SLAMPOS]	0	80.3789	-58.7499	266.938
100	[SLAMPOS]	0	80.4083	-58.7468	266.939
100	[SLAMPOS]	0	80.3756	-58.7223	266.908
100	[SLAMPOS]	0	80.3811	-58.7308	266.895
100	[SLAMPOS]	0	80.3551	-58.7448	266.936
100	[SLAMPOS]	0	80.3129	-58.754	266.965
100	[SLAMPOS]	0	80.3313	-58.7512	266.954
100	[SLAMPOS]	0	80.2918	-58.7434	266.934
100	[SLAMPOS]	0	80.2918	-58.7434	266.934
100	[SLAMPOS]	0	80.2922	-58.7366	266.921
100	[SLAMPOS]	0	80.2581	-58.7297	266.927
100	[SLAMPOS]	0	80.2499	-58.7424	266.958
100	[SLAMPOS]	0	80.2435	-58.746	266.954
100	[SLAMPOS]	0	80.2306	-58.7536	266.961
100	[SLAMPOS]	0	80.2283	-58.7501	266.964
100	[SLAMPOS]	0	80.2001	-58.7618	266.976
100	[SLAMPOS]	0	80.1997	-58.7368	266.98
100	[SLAMPOS]	0	80.1604	-58.7579	266.974
100	[SLAMPOS]	0	80.1369	-58.7391	266.945
100	[SLAMPOS]	0	80.1088	-58.7313	266.919
100	[SLAMPOS]	0	80.0969	-58.7227	266.915
100	[SLAMPOS]	0	80.0722	-58.7278	266.921
100	[SLAMPOS]	0	80.0411	-58.749	266.962
100	[SLAMPOS]	0	79.9927	-58.7403	266.955
100	[SLAMPOS]	0	79.9708	-58.7607	266.992
100	[SLAMPOS]	0	79.9312	-58.7651	267.019
100	[SLAMPOS]	0	79.9286	-58.7668	267.015
100	[SLAMPOS]	0	79.8844	-58.7462	266.961
100	[SLAMPOS]	0	79.7995	-58.7826	267.041
100	[SLAMPOS]	0	79.7942	-58.7446	266.977
100	[SLAMPOS]	0	79.8162	-58.7375	266.946
100	[SLAMPOS]	0	79.6502	-58.7642	266.995
100	[SLAMPOS]	0	79.6166	-58.7586	266.988
100	[SLAMPOS]	0	79.588	-58.7613	266.977
100	[SLAMPOS]	0	79.531	-58.759	266.971
100	[SLAMPOS]	0	79.4768	-58.7434	266.928
100	[SLAMPOS]	0	79.4029	-58.7684	266.974
100	[SLAMPOS]	0	79.3532	-58.7699	266.946
100	[SLAMPOS]	0	79.2939	-58.7667	266.94
100	[SLAMPOS]	0	79.2174	-58.7787	266.949
100	[SLAMPOS]	0	79.1615	-58.7686	266.932
100	[SLAMPOS]	0	79.0815	-58.7774	266.966
