0	[GPS]	0	31.290351854292886	121.202328538168020	322.244090323916170	0.000	0.000	0	0
0	[GPS]	0	31.289071529993869	121.203715726290710	310.919718642305100	-0.000	-0.000	0	0	
0	[GPS]	0	31.289071529993869	121.203715726290710	310.919718642305100	-0.000	-0.000	0	0	
0	[GPS]	0	31.289071529161877	121.203715724469180	310.918926340361340	-0.000	0.000	0	0	
0	[GPS]	0	31.289071522718281	121.203715704392250	310.917778868580800	-0.002	0.001	0	0	
0	[GPS]	0	31.289071522718281	121.203715704392250	310.917778868580800	-0.002	0.001	0	0	
0	[GPS]	0	31.289071511642948	121.203715679863460	310.915975698639900	-0.004	0.002	0	0	
0	[GPS]	0	31.289071511642948	121.203715679863460	310.915975698639900	-0.004	0.002	0	0	
0	[GPS]	0	31.289071520666685	121.203715693043090	310.916604076043540	-0.003	0.002	0	0	
0	[GPS]	0	31.289071508668929	121.203715682134530	310.913653434322100	-0.005	0.002	0	0	
0	[GPS]	0	31.289071509139013	121.203715676951480	310.914800906102700	-0.005	0.002	0	0	
0	[GPS]	0	31.289071518947807	121.203715701756880	310.915811774099840	-0.002	0.001	0	0	
0	[GPS]	0	31.289071518947807	121.203715701756880	310.915811774099840	-0.002	0.001	0	0	
0	[GPS]	0	31.289071520851639	121.203715702539140	310.915347321236250	-0.002	0.001	0	0	
0	[GPS]	0	31.289071553496534	121.203715722983620	310.913598792808730	0.002	0.002	0	0	
0	[GPS]	0	31.289071561132094	121.203715725668130	310.913380226755290	0.003	0.002	0	0	
0	[GPS]	0	31.289071539703251	121.203715745647390	310.911495094544360	0.002	-0.001	0	0	
0	[GPS]	0	31.289071539703251	121.203715745647390	310.911495094544360	0.002	-0.001	0	0	
0	[GPS]	0	31.289071562437741	121.203715730030300	310.913434868268670	0.003	0.002	0	0	
0	[GPS]	0	31.289071562437741	121.203715730030300	310.913434868268670	0.003	0.002	0	0	
0	[GPS]	0	31.289071568698585	121.203715730825850	310.913598792808730	0.003	0.003	0	0	
0	[GPS]	0	31.289071546171865	121.203715735573780	310.911686339841140	0.002	0.000	0	0	
0	[GPS]	0	31.289071546171865	121.203715735573780	310.911686339841140	0.002	0.000	0	0	
0	[GPS]	0	31.289071552061255	121.203715741314070	310.910894037897440	0.003	0.001	0	0	
0	[GPS]	0	31.289071552061255	121.203715741314070	310.910894037897440	0.003	0.001	0	0	
0	[GPS]	0	31.289071555160671	121.203715742100020	310.910074415197020	0.003	0.001	0	0	
0	[GPS]	0	31.289071542945663	121.203715726782480	310.906522716828590	0.001	0.001	0	0	
0	[GPS]	0	31.289071542945663	121.203715726782480	310.906522716828590	0.001	0.001	0	0	
0	[GPS]	0	31.289071544809612	121.203715736778140	310.904801509157780	0.002	0.000	0	0	
0	[GPS]	0	31.289071544809612	121.203715736778140	310.904801509157780	0.002	0.000	0	0	
0	[GPS]	0	31.289071546180299	121.203715737280940	310.902615848623380	0.002	0.000	0	0	
0	[GPS]	0	31.289071504858438	121.203715696851650	310.898654338904750	-0.004	0.000	0	0	
0	[GPS]	0	31.289071504858438	121.203715696851650	310.898654338904750	-0.004	0.000	0	0	
0	[GPS]	0	31.289071507030631	121.203715658856280	310.894091772539180	-0.006	0.003	0	0	
0	[GPS]	0	31.289071507030631	121.203715658856280	310.894091772539180	-0.006	0.003	0	0	
0	[GPS]	0	31.289071504755654	121.203715649488470	310.894583546159420	-0.007	0.004	0	0	
0	[GPS]	0	31.289071498465674	121.203715660380060	310.892206640328250	-0.007	0.002	0	0	
0	[GPS]	0	31.289071498465674	121.203715660380060	310.892206640328250	-0.007	0.002	0	0	
0	[GPS]	0	31.289071527435013	121.203715657075070	310.890977206277680	-0.005	0.005	0	0	
0	[GPS]	0	31.289071527435013	121.203715657075070	310.890977206277680	-0.005	0.005	0	0	
0	[GPS]	0	31.289071531224177	121.203715652130410	310.889775092983770	-0.005	0.005	0	0	
0	[GPS]	0	31.289071530557266	121.203715668525600	310.887726036232720	-0.004	0.004	0	0	
0	[GPS]	0	31.289071530557266	121.203715668525600	310.887726036232720	-0.004	0.004	0	0	
0	[GPS]	0	31.289071525856613	121.203715672825310	310.894119093295900	-0.004	0.004	0	0	
0	[GPS]	0	31.289071525856613	121.203715672825310	310.894119093295900	-0.004	0.004	0	0	
0	[GPS]	0	31.289071527608563	121.203715671924460	310.893845885729090	-0.004	0.004	0	0	
0	[GPS]	0	31.289071552938658	121.203715698566470	310.888736904229920	0.000	0.004	0	0	
0	[GPS]	0	31.289071552938658	121.203715698566470	310.888736904229920	0.000	0.004	0	0	
0	[GPS]	0	31.289071531645721	121.203715700642330	310.884256300134380	-0.001	0.002	0	0	
0	[GPS]	0	31.289071531645721	121.203715700642330	310.884256300134380	-0.001	0.002	0	0	
0	[GPS]	0	31.289071532026178	121.203715702876050	310.886332677642090	-0.001	0.002	0	0	
0	[GPS]	0	31.289071535509549	121.203715700519240	310.884529507701190	-0.001	0.002	0	0	
0	[GPS]	0	31.289071535509549	121.203715700519240	310.884529507701190	-0.001	0.002	0	0	
0	[GPS]	0	31.289071555779735	121.203715694893050	310.879803016795510	0.000	0.004	0	0	
0	[GPS]	0	31.289071555779735	121.203715694893050	310.879803016795510	0.000	0.004	0	0	
0	[GPS]	0	31.289071561570132	121.203715695461710	310.880977809332760	0.001	0.005	0	0	
0	[GPS]	0	31.289071533338614	121.203715708088650	310.881032450846130	-0.001	0.002	0	0	
0	[GPS]	0	31.289071533338614	121.203715708088650	310.881032450846130	-0.001	0.002	0	0	
